PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,FROM_YEAR,TO_YEAR,FROM_YEAR,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
1630639,A.J.,Lawson,A.J. Lawson,2000-07-15T00:00:00,South Carolina,Canada,6-6,179,2,0,Guard,2022,2024,2022,Undrafted,Undrafted,Undrafted
1641711,Gradey,Dick,Gradey Dick,2003-11-20T00:00:00,Kansas,USA,6-6,200,1,1,Guard-Forward,2023,2024,2023,2023,1,13
1642367,Jonathan,Mogbo,Jonathan Mogbo,2001-10-29T00:00:00,San Francisco,USA,6-9,225,0,2,Forward,2024,2024,2024,2024,2,31
1630567,Scottie,Barnes,Scottie Barnes,2001-08-01T00:00:00,Florida State,USA,6-7,237,3,4,Forward-Guard,2021,2024,2021,2021,1,4
1630193,Immanuel,Quickley,Immanuel Quickley,1999-06-17T00:00:00,Kentucky,USA,6-2,190,4,5,Guard,2020,2024,2020,2020,1,25
1629628,RJ,Barrett,RJ Barrett,2000-06-14T00:00:00,Duke,Canada,6-6,214,5,9,Forward-Guard,2019,2024,2019,2019,1,3
1628971,Bruce,Brown,Bruce Brown,1996-08-15T00:00:00,Miami,USA,6-4,202,6,11,Guard-Forward,2018,2024,2018,2018,2,42
1642266,Ja'Kobe,Walter,Ja'Kobe Walter,2004-09-04T00:00:00,Baylor,USA,6-5,180,0,14,Guard,2024,2024,2024,2024,1,19
202066,Garrett,Temple,Garrett Temple,1986-05-08T00:00:00,Louisiana State,USA,6-5,195,14,17,Guard-Forward,2009,2024,2009,Undrafted,Undrafted,Undrafted
1627751,Jakob,Poeltl,Jakob Poeltl,1995-10-15T00:00:00,Utah,Austria,7-0,260,8,19,Center,2016,2024,2016,2016,1,9
1642279,Ulrich,Chomche,Ulrich Chomche,2005-12-30T00:00:00,NBA Global Academy,Cameroon,6-11,235,0,22,Center,2024,2024,2024,2024,2,57
1642347,Jamal,Shead,Jamal Shead,2002-07-24T00:00:00,Houston,USA,6-1,200,0,23,Guard,2024,2024,2024,2024,2,45
1628449,Chris,Boucher,Chris Boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,6-9,200,7,25,Forward,2017,2024,2017,Undrafted,Undrafted,Undrafted
1630534,Ochai,Agbaji,Ochai Agbaji,2000-04-20T00:00:00,Kansas,USA,6-5,215,2,30,Guard,2022,2024,2022,2022,1,14
203482,Kelly,Olynyk,Kelly Olynyk,1991-04-19T00:00:00,Gonzaga,Canada,6-11,240,11,41,Forward-Center,2013,2024,2013,2013,1,13
1630558,Davion,Mitchell,Davion Mitchell,1998-09-05T00:00:00,Baylor,USA,6-0,202,3,45,Guard,2021,2024,2021,2021,1,9
1642419,Jamison,Battle,Jamison Battle,2001-05-10T00:00:00,Ohio State,USA,6-7,220,0,77,Forward,2024,2024,2024,Undrafted,Undrafted,Undrafted
1630647,Eugene,Omoruyi,Eugene Omoruyi,1997-02-14T00:00:00,Oregon,Nigeria,6-6,235,3,97,Forward,2021,2024,2021,Undrafted,Undrafted,Undrafted
