PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_id
1630639,2023-24,00,1610612742,DAL,23.0,10,0,30.0,4,9,0.444,2,6,0.333,1,2,0.5,1,2,3,0,0,1,0,1,11,1630639
1630567,2021-22,00,1610612761,TOR,20.0,4,3,133.0,18,42,0.429,2,12,0.167,13,16,0.813,7,29,36,17,4,1,5,12,51,1630567
1630193,2020-21,00,1610612752,NYK,22.0,5,0,77.0,10,33,0.303,4,11,0.364,5,7,0.714,0,7,7,5,3,0,6,8,29,1630193
1630193,2022-23,00,1610612752,NYK,24.0,8,0,175.0,23,66,0.348,9,37,0.243,17,20,0.85,2,11,13,8,4,0,9,11,72,1630193
1629628,2020-21,00,1610612752,NYK,21.0,5,5,162.0,26,67,0.388,8,28,0.286,12,15,0.8,4,32,36,15,4,2,2,11,72,1629628
1629628,2022-23,00,1610612752,NYK,23.0,11,11,377.0,71,164,0.433,20,61,0.328,50,65,0.769,5,44,49,31,9,2,25,25,212,1629628
1628971,2018-19,00,1610612765,DET,22.0,4,2,57.0,5,14,0.357,1,5,0.2,2,2,1.0,1,7,8,2,2,1,2,8,13,1628971
1628971,2020-21,00,1610612751,BKN,24.0,12,5,277.0,40,79,0.506,2,11,0.182,13,16,0.813,23,38,61,25,8,5,11,31,95,1628971
1628971,2021-22,00,1610612751,BKN,25.0,4,4,139.0,21,37,0.568,6,14,0.429,8,10,0.8,6,13,19,11,5,3,9,16,56,1628971
1628971,2022-23,00,1610612743,DEN,26.0,20,0,532.0,90,176,0.511,18,57,0.316,42,49,0.857,15,65,80,38,21,9,23,49,240,1628971
202066,2009-10,00,1610612759,SAS,24.0,6,0,15.0,1,3,0.333,1,3,0.333,1,1,1.0,0,2,2,2,1,0,2,1,4,202066
202066,2013-14,00,1610612764,WAS,28.0,10,0,9.0,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,5,5,202066
202066,2014-15,00,1610612764,WAS,29.0,4,0,26.0,1,6,0.167,0,3,0.0,5,8,0.625,1,2,3,1,2,0,3,4,7,202066
202066,2018-19,00,1610612746,LAC,33.0,6,0,63.0,3,11,0.273,1,7,0.143,7,10,0.7,1,6,7,2,3,1,2,8,14,202066
202066,2019-20,00,1610612751,BKN,34.0,4,4,137.0,17,49,0.347,9,36,0.25,5,6,0.833,0,11,11,8,3,1,6,12,48,202066
202066,2021-22,00,1610612740,NOP,36.0,1,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,202066
1627751,2016-17,00,1610612761,TOR,21.0,6,0,26.0,5,11,0.455,0,0,0.0,0,2,0.0,6,6,12,0,1,1,0,3,10,1627751
1627751,2017-18,00,1610612761,TOR,22.0,9,0,140.0,17,31,0.548,0,1,0.0,15,19,0.789,15,21,36,6,3,4,8,25,49,1627751
1627751,2018-19,00,1610612759,SAS,23.0,7,7,177.0,23,36,0.639,0,1,0.0,5,9,0.556,25,29,54,12,2,5,3,26,51,1627751
1628449,2018-19,00,1610612761,TOR,26.0,2,0,4.0,2,5,0.4,1,3,0.333,0,1,0.0,0,1,1,0,0,1,0,0,5,1628449
1628449,2019-20,00,1610612761,TOR,27.0,7,0,43.0,3,11,0.273,2,5,0.4,0,1,0.0,3,9,12,1,0,2,1,5,8,1628449
1628449,2021-22,00,1610612761,TOR,29.0,6,0,130.0,26,42,0.619,6,15,0.4,9,10,0.9,12,23,35,1,1,7,2,13,67,1628449
203482,2014-15,00,1610612738,BOS,24.0,4,0,53.0,7,13,0.538,3,6,0.5,1,2,0.5,2,3,5,2,2,2,4,12,18,203482
203482,2015-16,00,1610612738,BOS,25.0,4,0,32.0,1,9,0.111,0,3,0.0,0,0,0.0,2,2,4,3,1,0,4,5,2,203482
203482,2016-17,00,1610612738,BOS,26.0,18,2,346.0,64,125,0.512,15,47,0.319,22,30,0.733,14,43,57,34,13,14,22,47,165,203482
203482,2017-18,00,1610612748,MIA,27.0,5,0,146.0,21,44,0.477,8,19,0.421,14,20,0.7,7,16,23,19,7,6,8,19,64,203482
203482,2019-20,00,1610612748,MIA,29.0,17,0,258.0,45,95,0.474,17,49,0.347,23,28,0.821,13,66,79,19,4,8,13,35,130,203482
1630558,2022-23,00,1610612758,SAC,24.0,7,0,140.0,19,46,0.413,7,27,0.259,5,6,0.833,3,6,9,12,6,1,6,7,50,1630558
