PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_id
1630639,2022-23,00,1610612750,MIN,22.0,1,0,2.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,1630639
1630639,2022-23,00,1610612742,DAL,22.0,14,0,107.0,21,43,0.488,10,25,0.4,2,8,0.25,6,14,20,2,2,0,3,10,54,1630639
1630639,2022-23,00,0,TOT,22.0,15,0,108.0,22,44,0.5,10,25,0.4,2,8,0.25,6,15,21,2,2,0,3,11,56,1630639
1630639,2023-24,00,1610612742,DAL,23.0,42,0,311.0,54,121,0.446,13,50,0.26,15,23,0.652,14,36,50,20,10,3,14,22,136,1630639
1630639,2024-25,00,1610612761,TOR,24.0,3,0,14.0,3,7,0.429,2,5,0.4,1,2,0.5,1,2,3,0,0,0,0,0,9,1630639
1641711,2023-24,00,1610612761,TOR,20.0,60,17,1268.0,189,445,0.425,88,241,0.365,44,51,0.863,27,105,132,68,34,2,50,87,510,1641711
1641711,2024-25,00,1610612761,TOR,21.0,36,36,1099.0,198,484,0.409,84,243,0.346,100,111,0.901,27,94,121,77,31,7,59,82,580,1641711
1642367,2024-25,00,1610612761,TOR,23.0,36,6,589.0,70,151,0.464,8,25,0.32,35,48,0.729,63,86,149,56,26,16,31,66,183,1642367
1630567,2021-22,00,1610612761,TOR,20.0,74,74,2617.0,459,932,0.492,58,193,0.301,158,215,0.735,195,362,557,256,80,55,136,192,1134,1630567
1630567,2022-23,00,1610612761,TOR,21.0,77,76,2678.0,463,1016,0.456,63,224,0.281,190,246,0.772,179,333,512,371,83,61,154,170,1179,1630567
1630567,2023-24,00,1610612761,TOR,22.0,60,60,2094.0,447,942,0.475,101,296,0.341,196,251,0.781,141,353,494,363,75,88,165,118,1191,1630567
1630567,2024-25,00,1610612761,TOR,23.0,29,29,1008.0,224,484,0.463,41,151,0.272,89,122,0.73,48,183,231,191,43,27,99,64,578,1630567
1630193,2020-21,00,1610612752,NYK,22.0,64,3,1244.0,229,580,0.395,118,303,0.389,155,174,0.891,25,112,137,127,30,12,58,114,731,1630193
1630193,2021-22,00,1610612752,NYK,23.0,78,3,1802.0,284,724,0.392,137,396,0.346,177,201,0.881,31,216,247,275,54,3,99,167,882,1630193
1630193,2022-23,00,1610612752,NYK,24.0,81,21,2344.0,419,936,0.448,168,454,0.37,203,248,0.819,58,279,337,279,80,14,100,166,1209,1630193
1630193,2023-24,00,1610612752,NYK,25.0,30,0,720.0,152,335,0.454,64,162,0.395,82,94,0.872,5,72,77,74,16,3,31,44,450,1630193
1630193,2023-24,00,1610612761,TOR,25.0,38,38,1265.0,236,559,0.422,107,271,0.395,127,151,0.841,12,170,182,257,34,7,70,75,706,1630193
